,GENENAME,GENEID,PROTEINID,TXBIOTYPE,chemical,protein,experimental,prediction,database,textmining,combined_score,CIDs,Source,ID,pref_name,max_phase,molecule_type,first_approval,mechanism_of_action,action_type,synonyms
310,CDK9,ENSG00000136807,ENSP00000362361,protein_coding,CIDm16048554,9606.ENSP00000362361,761,0,800,527,976,CIDs46926350,ChEMBL,CHEMBL2103840,DINACICLIB,3,Small molecule,NA,Cyclin-dependent kinase 1 inhibitor,INHIBITOR,Dinaciclib | Mk-7965 | SCH 727965 | SCH-727965
311,CDK9,ENSG00000136807,ENSP00000362361,protein_coding,CIDm16048554,9606.ENSP00000362361,761,0,800,527,976,CIDs46926350,ChEMBL,CHEMBL2103840,DINACICLIB,3,Small molecule,NA,Cyclin-dependent kinase 2 inhibitor,INHIBITOR,Dinaciclib | Mk-7965 | SCH 727965 | SCH-727965
312,CDK9,ENSG00000136807,ENSP00000362361,protein_coding,CIDm16048554,9606.ENSP00000362361,761,0,800,527,976,CIDs46926350,ChEMBL,CHEMBL2103840,DINACICLIB,3,Small molecule,NA,Cyclin-dependent kinase 5 inhibitor,INHIBITOR,Dinaciclib | Mk-7965 | SCH 727965 | SCH-727965
313,CDK9,ENSG00000136807,ENSP00000362361,protein_coding,CIDm16048554,9606.ENSP00000362361,761,0,800,527,976,CIDs46926350,ChEMBL,CHEMBL2103840,DINACICLIB,3,Small molecule,NA,Cyclin-dependent kinase 9 inhibitor,INHIBITOR,Dinaciclib | Mk-7965 | SCH 727965 | SCH-727965
314,CDK9,ENSG00000136807,ENSP00000362361,protein_coding,CIDm05287969,9606.ENSP00000362361,891,0,800,912,997,CIDs05287969,ChEMBL,CHEMBL428690,ALVOCIDIB,3,Small molecule,NA,Cyclin-dependent kinase 2 inhibitor,INHIBITOR,Alvocidib | Flavopiridol | HL 275 | HL-275 | HMR 1275 | HMR-1275 | L 86 8275 | L-868275 | L86-8275 | MDL 107,826A | MDL-107826A | NSC-649890
315,CDK9,ENSG00000136807,ENSP00000362361,protein_coding,CIDm05287969,9606.ENSP00000362361,891,0,800,912,997,CIDs05287969,ChEMBL,CHEMBL428690,ALVOCIDIB,3,Small molecule,NA,Cyclin-dependent kinase 4 inhibitor,INHIBITOR,Alvocidib | Flavopiridol | HL 275 | HL-275 | HMR 1275 | HMR-1275 | L 86 8275 | L-868275 | L86-8275 | MDL 107,826A | MDL-107826A | NSC-649890
316,CDK9,ENSG00000136807,ENSP00000362361,protein_coding,CIDm05287969,9606.ENSP00000362361,891,0,800,912,997,CIDs05287969,ChEMBL,CHEMBL428690,ALVOCIDIB,3,Small molecule,NA,Cyclin-dependent kinase 6 inhibitor,INHIBITOR,Alvocidib | Flavopiridol | HL 275 | HL-275 | HMR 1275 | HMR-1275 | L 86 8275 | L-868275 | L86-8275 | MDL 107,826A | MDL-107826A | NSC-649890
317,CDK9,ENSG00000136807,ENSP00000362361,protein_coding,CIDm05287969,9606.ENSP00000362361,891,0,800,912,997,CIDs05287969,ChEMBL,CHEMBL428690,ALVOCIDIB,3,Small molecule,NA,Cyclin-dependent kinase 9 inhibitor,INHIBITOR,Alvocidib | Flavopiridol | HL 275 | HL-275 | HMR 1275 | HMR-1275 | L 86 8275 | L-868275 | L86-8275 | MDL 107,826A | MDL-107826A | NSC-649890
318,CDK9,ENSG00000136807,ENSP00000362361,protein_coding,CIDm05287969,9606.ENSP00000362361,891,0,800,912,997,CIDs05287969,ChEMBL,CHEMBL428690,ALVOCIDIB,3,Small molecule,NA,Cyclin-dependent kinase 1 inhibitor,INHIBITOR,Alvocidib | Flavopiridol | HL 275 | HL-275 | HMR 1275 | HMR-1275 | L 86 8275 | L-868275 | L86-8275 | MDL 107,826A | MDL-107826A | NSC-649890
319,CDK9,ENSG00000136807,ENSP00000362361,protein_coding,CIDm05287969,9606.ENSP00000362361,891,0,800,912,997,CIDs05287969,ChEMBL,CHEMBL428690,ALVOCIDIB,3,Small molecule,NA,Cyclin-dependent kinase 7 inhibitor,INHIBITOR,Alvocidib | Flavopiridol | HL 275 | HL-275 | HMR 1275 | HMR-1275 | L 86 8275 | L-868275 | L86-8275 | MDL 107,826A | MDL-107826A | NSC-649890
320,CDK9,ENSG00000136807,ENSP00000362361,protein_coding,CIDm03025986,9606.ENSP00000362361,739,0,800,267,959,CIDs03025986,ChEMBL,CHEMBL296468,BMS-387032,1,Small molecule,NA,Cyclin-dependent kinase 2 inhibitor,INHIBITOR,Bms-387032 | Sns 032 | BMS-387032 | SNS-032
321,CDK9,ENSG00000136807,ENSP00000362361,protein_coding,CIDm03025986,9606.ENSP00000362361,739,0,800,267,959,CIDs03025986,ChEMBL,CHEMBL296468,BMS-387032,1,Small molecule,NA,Cyclin-dependent kinase 7 inhibitor,INHIBITOR,Bms-387032 | Sns 032 | BMS-387032 | SNS-032
322,CDK9,ENSG00000136807,ENSP00000362361,protein_coding,CIDm03025986,9606.ENSP00000362361,739,0,800,267,959,CIDs03025986,ChEMBL,CHEMBL296468,BMS-387032,1,Small molecule,NA,Cyclin-dependent kinase 9 inhibitor,INHIBITOR,Bms-387032 | Sns 032 | BMS-387032 | SNS-032
323,CDK9,ENSG00000136807,ENSP00000362361,protein_coding,CIDm00063062,9606.ENSP00000362361,0,0,700,0,700,CIDs00449459,ChEMBL,CHEMBL489,AFIMOXIFENE,3,Small molecule,NA,Estrogen receptor modulator,MODULATOR,4-Hydroxytamoxifen | Afimoxifene | 4-OHT | Tamogel
324,CDK9,ENSG00000136807,ENSP00000362361,protein_coding,CIDm00063062,9606.ENSP00000362361,0,0,700,0,700,CIDs00449459,ChEMBL,CHEMBL489,AFIMOXIFENE,3,Small molecule,NA,Estrogen-related receptor gamma antagonist,ANTAGONIST,4-Hydroxytamoxifen | Afimoxifene | 4-OHT | Tamogel
325,MED1,ENSG00000125686,ENSP00000300651,protein_coding,CIDm05289547,9606.ENSP00000300651,0,0,800,0,800,CIDs05289547,ChEMBL,CHEMBL2104955,BECOCALCIDIOL,2,Small molecule,NA,Vitamin D receptor agonist,AGONIST,Becocalcidiol | Qrx-101 | 2MBisP | DP-006 | DP006 | QRX 101 | QRX-101
326,MED1,ENSG00000125686,ENSP00000300651,protein_coding,CIDm00077998,9606.ENSP00000300651,0,0,900,272,925,CIDs00077998,ChEMBL,CHEMBL843,ROSIGLITAZONE MALEATE,4,Small molecule,1999,Peroxisome proliferator-activated receptor gamma agonist,AGONIST,Rosiglitazone maleate | Avandia | BRL-49653 | BRL-49653-C | BRL-49653C
327,MED1,ENSG00000125686,ENSP00000300651,protein_coding,CIDm00004829,9606.ENSP00000300651,0,0,900,146,912,CIDs00004829,ChEMBL,CHEMBL1715,PIOGLITAZONE HYDROCHLORIDE,4,Small molecule,1999,Peroxisome proliferator-activated receptor gamma agonist,AGONIST,Pioglitazone hydrochloride | Actos | STR-001 | U-72107A | Diabiom | Glidipion | Glizofar
328,MED1,ENSG00000125686,ENSP00000300651,protein_coding,CIDm00003209,9606.ENSP00000300651,0,0,900,0,900,CIDs00446284,ChEMBL,CHEMBL460026,ICOSAPENT,3,Small molecule,NA,Unknown,NA,Omega-3 marine triglycerides | Icosapent | Eicosapentaenoic acid | EPA 45G
329,NCOR2,ENSG00000196498,ENSP00000384018,protein_coding,CIDm00077998,9606.ENSP00000384018,0,0,900,225,920,CIDs00077998,ChEMBL,CHEMBL843,ROSIGLITAZONE MALEATE,4,Small molecule,1999,Peroxisome proliferator-activated receptor gamma agonist,AGONIST,Rosiglitazone maleate | Avandia | BRL-49653 | BRL-49653-C | BRL-49653C
330,NCOR2,ENSG00000196498,ENSP00000384018,protein_coding,CIDm00005376,9606.ENSP00000384018,0,0,900,336,931,CIDs02733525,ChEMBL,CHEMBL786,TAMOXIFEN CITRATE,4,Small molecule,1977,Estrogen receptor alpha modulator,MODULATOR,Tamoxifen citrate | I.C.I.46474 CITRATE | ICI 46,474 | ICI-46474 | Emblon | Fentamox 10 | Fentamox 20 | Kentadex | Kessar | Kessar 10 | Kessar 20 | Noltam | Nolvadex | Nolvadex d | Nolvadex fte | Oestrifen-10 | Oestrifen-20 | Oestrifen-40 | Soltamox | Tamofen | Zynoplex
331,NCOR2,ENSG00000196498,ENSP00000384018,protein_coding,CIDm00004829,9606.ENSP00000384018,0,0,900,211,918,CIDs00004829,ChEMBL,CHEMBL1715,PIOGLITAZONE HYDROCHLORIDE,4,Small molecule,1999,Peroxisome proliferator-activated receptor gamma agonist,AGONIST,Pioglitazone hydrochloride | Actos | STR-001 | U-72107A | Diabiom | Glidipion | Glizofar
332,NCOR2,ENSG00000196498,ENSP00000384018,protein_coding,CIDm00003209,9606.ENSP00000384018,0,0,900,0,900,CIDs00446284,ChEMBL,CHEMBL460026,ICOSAPENT,3,Small molecule,NA,Unknown,NA,Omega-3 marine triglycerides | Icosapent | Eicosapentaenoic acid | EPA 45G
333,FHL1,ENSG00000022267,ENSP00000071281,protein_coding,CIDm00060953,9606.ENSP00000071281,0,0,700,0,700,CIDs00060953,ChEMBL,CHEMBL1773,CAPECITABINE,4,Small molecule,1998,Thymidylate synthase inhibitor,INHIBITOR,Capecitabine | Xeloda | RO 09-1978/000 | RO-09-1978000 | RO-091978000
334,FHL1,ENSG00000022267,ENSP00000071281,protein_coding,CIDm00060953,9606.ENSP00000071281,0,0,700,0,700,CIDs00060953,ChEMBL,CHEMBL1773,CAPECITABINE,4,Small molecule,1998,DNA inhibitor,INHIBITOR,Capecitabine | Xeloda | RO 09-1978/000 | RO-09-1978000 | RO-091978000
335,FHL1,ENSG00000022267,ENSP00000071281,protein_coding,CIDm00060953,9606.ENSP00000071281,0,0,700,0,700,CIDs00060953,ChEMBL,CHEMBL1773,CAPECITABINE,4,Small molecule,1998,RNA inhibitor,INHIBITOR,Capecitabine | Xeloda | RO 09-1978/000 | RO-09-1978000 | RO-091978000
336,FHL1,ENSG00000022267,ENSP00000071281,protein_coding,CIDm00004666,9606.ENSP00000071281,0,0,700,0,700,CIDs00036314,ChEMBL,CHEMBL428647,PACLITAXEL,4,Small molecule,1992,Tubulin inhibitor,INHIBITOR,Paclitaxel | Taxol | ABI-007 | ABI-007 COMPONENT PACLITAXEL | BMS 181339-01 | BMS-181339-01 | DHP 107 | DHP-107 | MBT 0206 | MBT-0206 | NK 105 | NK-105 | NSC-125973 | QW-8184 | Abraxane | Pacitaxel | Paxene | Taxol 100
337,FHL1,ENSG00000022267,ENSP00000071281,protein_coding,CIDm00003159,9606.ENSP00000071281,0,0,700,0,700,CIDs00018343,ChEMBL,CHEMBL1130,DOXIFLURIDINE,3,Small molecule,NA,DNA disrupting agent,DISRUPTING AGENT,Doxifluridine | 5'-Deoxy-5-Fluorouridine | RO 219738 | RO-219738 | Capecitabine related compound b
338,FHL1,ENSG00000022267,ENSP00000071281,protein_coding,CIDm00003159,9606.ENSP00000071281,0,0,700,0,700,CIDs00018343,ChEMBL,CHEMBL1130,DOXIFLURIDINE,3,Small molecule,NA,RNA disrupting agent,DISRUPTING AGENT,Doxifluridine | 5'-Deoxy-5-Fluorouridine | RO 219738 | RO-219738 | Capecitabine related compound b
339,FHL1,ENSG00000022267,ENSP00000071281,protein_coding,CIDm00003159,9606.ENSP00000071281,0,0,700,0,700,CIDs00018343,ChEMBL,CHEMBL1130,DOXIFLURIDINE,3,Small molecule,NA,Thymidylate synthase inhibitor,INHIBITOR,Doxifluridine | 5'-Deoxy-5-Fluorouridine | RO 219738 | RO-219738 | Capecitabine related compound b
340,ARNTL,ENSG00000133794,ENSP00000374357,protein_coding,CIDm00003209,9606.ENSP00000374357,0,0,900,0,900,CIDs00446284,ChEMBL,CHEMBL460026,ICOSAPENT,3,Small molecule,NA,Unknown,NA,Omega-3 marine triglycerides | Icosapent | Eicosapentaenoic acid | EPA 45G
341,CLOCK,ENSG00000134852,ENSP00000308741,protein_coding,CIDm00003209,9606.ENSP00000308741,0,0,900,0,900,CIDs00446284,ChEMBL,CHEMBL460026,ICOSAPENT,3,Small molecule,NA,Unknown,NA,Omega-3 marine triglycerides | Icosapent | Eicosapentaenoic acid | EPA 45G
342,SIN3A,ENSG00000169375,ENSP00000353622,protein_coding,CIDm00003209,9606.ENSP00000353622,0,0,900,0,900,CIDs00446284,ChEMBL,CHEMBL460026,ICOSAPENT,3,Small molecule,NA,Unknown,NA,Omega-3 marine triglycerides | Icosapent | Eicosapentaenoic acid | EPA 45G
343,EGR1,ENSG00000120738,ENSP00000239938,protein_coding,CIDm00005591,9606.ENSP00000239938,0,0,700,106,723,CIDs00005591,ChEMBL,CHEMBL408,TROGLITAZONE,4,Small molecule,1997,Peroxisome proliferator-activated receptor gamma agonist,AGONIST,Troglitazone | Rezulin | CI-991 | CS-045 | GR-92132X | GR92132X | Prelay | Romozin
344,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm09854489,9606.ENSP00000231509,912,198,800,363,990,CIDs09854489,ChEMBL,CHEMBL1676,FLUTICASONE FUROATE,4,Small molecule,2007,Glucocorticoid receptor agonist,AGONIST,Fluticasone furoate | GSK 685 698 | GSK-685968 | GSK685968 | GW-685698X | GW685698X | Arnuity ellipta | Avamys | Flonase sensimist allergy relief | Relvar ellipta | Trelegy ellipta | Veramyst
345,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00444033,9606.ENSP00000231509,490,0,900,455,970,CIDs06918155,ChEMBL,CHEMBL2040682,CICLESONIDE,4,Small molecule,2006,Glucocorticoid receptor agonist,AGONIST,Ciclesonide | BI54903 | RPR-251526 | RPR251526 | Alvesco | Alvesco 160 | Alvesco 80 | Omnaris | Zetonna
346,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00066249,9606.ENSP00000231509,0,0,900,797,979,CIDs00066249,ChEMBL,CHEMBL2105842,CORTIVAZOL,4,Small molecule,NA,Glucocorticoid receptor agonist,AGONIST,Cortivazol | NSC-80998 | Altim
347,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00054808,9606.ENSP00000231509,0,0,800,231,841,CIDs00444025,ChEMBL,CHEMBL1200865,LOTEPREDNOL ETABONATE,4,Small molecule,1998,Glucocorticoid receptor agonist,AGONIST,Loteprednol | Loteprednol etabonate | CDDD 5604 | CDDD-5604 | HGP-1 | KPI-121 | P-5604 | Airex | Alrex | Eysuvis | Inveltys | Lotemax | Lotemax sm
348,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00052421,9606.ENSP00000231509,0,0,800,190,833,CIDs06714002,ChEMBL,CHEMBL1200386,PREDNICARBATE,4,Small molecule,1991,Glucocorticoid receptor agonist,AGONIST,Prednicarbate | HOE 777 | HOE-777 | LAS-189961 | LAS-41003 COMPONENT PREDNICARBATE | LAS189961 | S 77 0777 | S-77 0777 | S-77-0777 | S-770777 | Dermatop | Dermatop e emollient
349,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00048175,9606.ENSP00000231509,0,0,800,0,800,CIDs06918178,ChEMBL,CHEMBL1200908,HALOBETASOL PROPIONATE,4,Small molecule,1990,Glucocorticoid receptor agonist,AGONIST,Ulobetasol | Ulobetasol propionate | Halobetasol propionate | BMY-30056 | CGP-14,458 | CGP-14458 | Bryhali | Lexette | Ultravate
350,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00039507,9606.ENSP00000231509,0,0,800,167,828,CIDs05311412,ChEMBL,CHEMBL1200617,RIMEXOLONE,4,Small molecule,1994,Glucocorticoid receptor agonist,AGONIST,Rimexolone | ORG 6216 | ORG-6216 | Vexol
351,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00031312,9606.ENSP00000231509,0,0,800,0,800,CIDs00031312,ChEMBL,CHEMBL1200635,HYDROCORTAMATE HYDROCHLORIDE,4,Small molecule,1956,Glucocorticoid receptor agonist,AGONIST,Hydrocortamate hydrochloride | Hydrocortamate chloride | Magnacort
352,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00026709,9606.ENSP00000231509,0,0,900,160,913,CIDs00189821,ChEMBL,CHEMBL1201891,DEFLAZACORT,4,Small molecule,2017,Glucocorticoid receptor agonist,AGONIST,Deflazacort | MDL 458 | MDL-458 | MDL458 | Calcort | Emflaza | Zamene
353,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00012536,9606.ENSP00000231509,0,0,800,0,800,CIDs05311066,ChEMBL,CHEMBL1201109,DESONIDE,4,Small molecule,1972,Glucocorticoid receptor agonist,AGONIST,Desonide | Desonate | D-2083 | D2083 | Desowen | Tridesilon | Verdeso
354,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00005936,9606.ENSP00000231509,0,0,700,0,700,CIDs00005936,ChEMBL,CHEMBL1025,ISOFLUROPHATE,4,Small molecule,1957,Acetylcholinesterase inhibitor,INHIBITOR,Fluostigmine | Dyflos | Isoflurophate | Floropryl
355,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00005645,9606.ENSP00000231509,393,0,700,0,812,CIDs00031401,ChEMBL,CHEMBL1551,URSODIOL,4,Small molecule,1987,Bile acid receptor FXR agonist,AGONIST,Ursodeoxycholic acid | Ursodiol | Ursodesoxycholic acid | Ursonorm | NSC-683769 | Actigall | Cholurso | Destolit | Urdox | Urso | Urso 250 | Urso forte | Ursofalk | Ursogal
356,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00005645,9606.ENSP00000231509,393,0,700,0,812,CIDs00010133,ChEMBL,CHEMBL240597,CHENODIOL,4,Small molecule,1983,Bile acid receptor FXR agonist,AGONIST,Chenodeoxycholic acid | Chenodiol | Chenic acid | Chenodeoxycholate | NSC-657949 | Chendol 125 | Chendol 250 | Chenix | Chenocedon | Chenofalk | Combidol | Lithofalk | Xenbilox
357,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00005544,9606.ENSP00000231509,541,238,900,0,963,CIDs00031307,ChEMBL,CHEMBL1451,TRIAMCINOLONE,4,Small molecule,1957,Glucocorticoid receptor agonist,AGONIST,Triamcinolone | Fluoxiprednisolone | NSC-13397 | Aristocort | Aristocort A | Delphicort | Kenacort | Kenalog | Volon
358,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00005267,9606.ENSP00000231509,601,0,900,728,988,CIDs00005833,ChEMBL,CHEMBL1393,SPIRONOLACTONE,4,Small molecule,1960,Mineralocorticoid receptor antagonist,ANTAGONIST,Spironolactone | NSC-150399 | SC-9420 | Abbolactone | Aldactone | Carospir | Diatensec | Gx spironol | Laractone | Spiretic | Spiroctan 100 | Spiroctan 25 | Spiroctan 50 | Spirospare 100 | Spirospare 25
359,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00004920,9606.ENSP00000231509,716,0,700,910,991,CIDs00005994,ChEMBL,CHEMBL103,PROGESTERONE,4,Small molecule,1976,Progesterone receptor agonist,AGONIST,Progesterone | NSC-64377 | NSC-9704 | U 3672 | Crinone | Cyclogest | Endometrin | Gesterol | Lutigest | Milprosa | Prochieve | Progesta-care | Progestasert | Progestin | Prometrium | Regumate | Serenity for women | Syngestrone | Utrogestan
360,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00004900,9606.ENSP00000231509,226,0,900,740,978,CIDs00005865,ChEMBL,CHEMBL635,PREDNISONE,4,Small molecule,1955,Glucocorticoid receptor agonist,AGONIST,Prednisone | NSC-10023 | Cortan | Cortancyl | Decortisyl | Delta-dome | Deltasone | Fernisone | Liquid pred | Lodotra | Meticorten | Orasone | Paracort | Prednicen-m | Prednisone intensol | Rayos | Servisone | Sterapred | Prednisone tablets
361,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00004894,9606.ENSP00000231509,900,0,900,802,997,CIDs00005755,ChEMBL,CHEMBL131,PREDNISOLONE,4,Small molecule,1955,Glucocorticoid receptor agonist,AGONIST,Prednisolone | Desowen | Hydeltra-Tba | Meticortelone | Neo-Delta-Cortef | Poly-Pred | Pred-G | Servisone | Tridesilon | Verdeso | NSC-9120 | NSC-9900 | Cortalone | Dekotil | Delta-cortef | Deltacortril | Deltalone | Dilacort | Fernisolone-p | Hydeltra | Meti-derm | Pevanti | Precortisyl | Precortisyl fte | Prelone | Scheriproct | Sterane
362,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00004212,9606.ENSP00000231509,0,0,700,0,700,CIDs00004212,ChEMBL,CHEMBL1417019,MITOXANTRONE HYDROCHLORIDE,4,Small molecule,1987,DNA topoisomerase II alpha inhibitor,INHIBITOR,Mitozantrone | Mitoxantrone hydrochloride | Mitoxantrone dihydrochloride | Mitoxantrone Dihcl | Mitoxantrone Dihydrochloride | CL 232,315 | CL-232315 | NSC-301739 | Novantrone
363,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00004212,9606.ENSP00000231509,0,0,700,0,700,CIDs00004212,ChEMBL,CHEMBL1417019,MITOXANTRONE HYDROCHLORIDE,4,Small molecule,1987,DNA inhibitor,INHIBITOR,Mitozantrone | Mitoxantrone hydrochloride | Mitoxantrone dihydrochloride | Mitoxantrone Dihcl | Mitoxantrone Dihydrochloride | CL 232,315 | CL-232315 | NSC-301739 | Novantrone
364,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00004196,9606.ENSP00000231509,974,0,900,992,999,CIDs00055245,ChEMBL,CHEMBL1276308,MIFEPRISTONE,4,Small molecule,2000,Glucocorticoid receptor antagonist,ANTAGONIST,Mifepristone | RU 38486 | RU 486 | RU-38486 | RU-486 | RU486 | Korlym | Mifegyne | Mifeprex
365,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00004196,9606.ENSP00000231509,974,0,900,992,999,CIDs00055245,ChEMBL,CHEMBL1276308,MIFEPRISTONE,4,Small molecule,2000,Progesterone receptor antagonist,ANTAGONIST,Mifepristone | RU 38486 | RU 486 | RU-38486 | RU-486 | RU486 | Korlym | Mifegyne | Mifeprex
366,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00004159,9606.ENSP00000231509,714,158,900,543,988,CIDs00006741,ChEMBL,CHEMBL650,METHYLPREDNISOLONE,4,Small molecule,1957,Glucocorticoid receptor agonist,AGONIST,Methylprednisolone | J3.872E | NSC-19987 | U-67,590A | Medrol | Medrone
367,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00004043,9606.ENSP00000231509,0,0,800,0,800,CIDs00247839,ChEMBL,CHEMBL1201173,MEDRYSONE,4,Small molecule,1969,Glucocorticoid receptor agonist,AGONIST,Medrysone | Hydroxymesterone | U-8471
368,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00003878,9606.ENSP00000231509,0,0,700,227,761,CIDs00003878,ChEMBL,CHEMBL741,LAMOTRIGINE,4,Small molecule,1994,Sodium channel alpha subunit blocker,BLOCKER,Lamotrigine | BW 430C | BW-430C | Lamictal | Lamictal cd | Lamictal odt | Lamictal xr
369,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00003640,9606.ENSP00000231509,800,142,900,971,999,CIDs00005754,ChEMBL,CHEMBL389621,HYDROCORTISONE,4,Small molecule,1952,Glucocorticoid receptor agonist,AGONIST,Hydrocortisone | Cor-Oticin | Cortifoam | Cortisol | Micort-HC | Neo-Cortef | Ophthocort | Terra-Cortril | U-Cort | FLEXICORT | NSC-10483 | Acetasol hc | Acticort | Aeroseb-hc | Ala-cort | Ala-scalp | Alkindi sprinkle | Alphaderm | Anflam | Anucort-Hc | Anugesic hc | Anusol hc | Anusol plus hc | Anusol soothing relief | Anusol-Hc | Balneol-hc | Beta-hc | Calmurid hc | Canesten hc | Cetacort | Cipro hc | Cobadex | Colocort | Corlan | Cort-dome | Cortef | Cortenem | Cortenema | Cortril | Daktacort | Daktacort hydrocort | Derma care hydrocort | Dermacort | Dermaspray demang | Dioderm | Dome-cort | Econacort | Efcortelan p | Eldecort | Epicort | Eurax-hc | Eurax-hydrocort | Evacort | Exe-cort | Flexicort | Germoloids hc | Glycort | Gregoderm | H-cort | Hc #1 | Hc #4 | Hc (hydrocortisone) | Hi-cor | Hydro-rx | Hydrocort in calamine oily | Hydrocort in cetomacrogol for a | Hydrocort in wte soft paraf | Hydrocortisone in absorbase | Hydrocortone | Hydroderm | Hydroderm hc | Hytone | Jungle for | Locoid | Medicort | Mildison lipocream | Nogenic hc | Nutracort | Nybadex | Nystaform-hc | Otoseptil | Otosporin | Penecort | Perinal | Plenadren | Proctocort | Proctocream hc | Proctofoam hc | Proctosedyl | Quinocort | Sential hc | Stie-cort | Synacort | Terra-cortril nystatin | Texacort | Timocort | Timodine | Topisone | Tri-cicatrin | Uniroid | Uniroid hc | Xyloproct | Zenoxone
370,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00003399,9606.ENSP00000231509,944,0,800,330,992,CIDs00444036,ChEMBL,CHEMBL1473,FLUTICASONE PROPIONATE,4,Small molecule,1990,Glucocorticoid receptor agonist,AGONIST,Fluticasone | Fluticasone propionate  | Fluticasone propionate | Opn-375 | CCI 18781 | CCI-18781 | FLOVENT | PF-00241939 | Aerivio spiromax | Airflusal forspiro | Armonair digihaler | Armonair respiclick | Cutivate | Flixonase | Flixotide | Flonase | Flonase allergy relief | Flovent | Flovent diskus 100 | Flovent diskus 250 | Flovent diskus 50 | Flovent hfa | Flutiform | Nasofan | Pirinase | Sereflo | Seretide 100 | Seretide 125 | Seretide 250 | Seretide 50 | Seretide 500 | Sirdupla | Xhance
371,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00003392,9606.ENSP00000231509,817,198,800,0,969,CIDs00015209,ChEMBL,CHEMBL1201012,FLURANDRENOLIDE,4,Small molecule,1965,Glucocorticoid receptor agonist,AGONIST,Fludroxycortide | Flurandrenolide | Fludroxicortide | Flurandrenolone | 33379 | Cordran | Cordran sp | Haelan | Haelan-c | Haelan-x
372,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00003387,9606.ENSP00000231509,0,266,800,0,848,CIDs00006446,ChEMBL,CHEMBL1445,FLUOXYMESTERONE,4,Small molecule,1956,Androgen Receptor agonist,AGONIST,Fluoxymesterone | Fluoximesterone | NSC-10704 | NSC-12165 | Android-f | Androxy | Halotestin | Ora-testryl | Fluoxymesterone ciii
373,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00003386,9606.ENSP00000231509,0,0,900,904,990,CIDs00003386,ChEMBL,CHEMBL1201082,FLUOXETINE HYDROCHLORIDE,4,Small molecule,1987,Serotonin transporter inhibitor,INHIBITOR,Fluoxetine hydrochloride | LY-110140 | LY110140 | Felicium | Fluoxetine | Olena | Oxactin | Prozac | Prozac 60 | Prozac weekly | Prozep | Prozit | Ranflutin | Sarafem | Selfemra
374,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00003384,9606.ENSP00000231509,793,232,800,0,966,CIDs00009878,ChEMBL,CHEMBL1200600,FLUOROMETHOLONE,4,Small molecule,1972,Glucocorticoid receptor agonist,AGONIST,Fluorometholone | NSC-33001 | Fluaton | Fluor-op | Fml forte | Fml fte | Fml-neo | Oxylone
375,NR3C1,ENSG00000113580,ENSP00000231509,protein_coding,CIDm00003382,9606.ENSP00000231509,841,220,800,232,979,CIDs00009642,ChEMBL,CHEMBL1501,FLUOCINONIDE,4,Small molecule,1971,Glucocorticoid receptor agonist,AGONIST,Fluocinonide | Fluocinolide | NSC-101791 | Fluocinonide emulsified base | Lidex | Lidex-e | Metosyn | Metosyn fapg | Vanos
